 muB (MeV)    P (MeV/fm^3)           nB/n0    e (MeV/fm^3)              cs
1485.63450    0.288924E+03    0.509287E+01    0.921659E+03    0.736092E+00
1490.42300    0.292838E+03    0.512303E+01    0.928839E+03    0.740694E+00
1495.21150    0.296774E+03    0.515287E+01    0.935968E+03    0.745810E+00
1500.00000    0.300733E+03    0.518237E+01    0.943034E+03    0.753913E+00
1530.00000    0.326049E+03    0.536569E+01    0.987473E+03    0.758042E+00
1560.00000    0.352243E+03    0.554855E+01    0.103268E+04    0.764277E+00
1590.00000    0.379314E+03    0.573104E+01    0.107866E+04    0.770077E+00
1620.00000    0.407261E+03    0.591324E+01    0.112545E+04    0.775500E+00
1650.00000    0.436081E+03    0.609521E+01    0.117305E+04    0.780576E+00
1680.00000    0.465774E+03    0.627700E+01    0.122148E+04    0.785344E+00
1710.00000    0.496340E+03    0.645868E+01    0.127075E+04    0.789841E+00
1740.00000    0.527778E+03    0.664027E+01    0.132087E+04    0.794082E+00
1770.00000    0.560087E+03    0.682181E+01    0.137185E+04    0.798089E+00
1800.00000    0.593268E+03    0.700333E+01    0.142369E+04    0.801883E+00
1830.00000    0.627319E+03    0.718485E+01    0.147641E+04    0.805492E+00
1860.00000    0.662242E+03    0.736641E+01    0.153000E+04    0.808923E+00
1890.00000    0.698037E+03    0.754800E+01    0.158448E+04    0.812188E+00
1920.00000    0.734703E+03    0.772966E+01    0.163985E+04    0.815302E+00
1950.00000    0.772242E+03    0.791140E+01    0.169611E+04    0.818277E+00
1980.00000    0.810654E+03    0.809322E+01    0.175328E+04    0.821117E+00
2010.00000    0.849937E+03    0.827514E+01    0.181135E+04    0.823837E+00
2040.00000    0.890095E+03    0.845717E+01    0.187033E+04    0.826449E+00
2070.00000    0.931127E+03    0.863932E+01    0.193022E+04    0.828963E+00
2100.00000    0.973035E+03    0.882160E+01    0.199102E+04    0.831319E+00
2130.00000    0.101580E+04    0.900395E+01    0.205274E+04    0.833620E+00
2160.00000    0.105946E+04    0.918647E+01    0.211539E+04    0.835898E+00
2190.00000    0.110399E+04    0.936914E+01    0.217896E+04    0.838051E+00
2220.00000    0.114940E+04    0.955194E+01    0.224345E+04    0.840139E+00
2250.00000    0.119569E+04    0.973489E+01    0.230887E+04    0.842127E+00
2280.00000    0.124285E+04    0.991796E+01    0.237522E+04    0.844061E+00
2310.00000    0.129089E+04    0.101012E+02    0.244250E+04    0.845971E+00
2340.00000    0.133982E+04    0.102845E+02    0.251072E+04    0.847796E+00
2370.00000    0.138962E+04    0.104681E+02    0.257986E+04    0.849596E+00
2400.00000    0.144032E+04    0.106517E+02    0.264995E+04    0.854642E+00
